AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,CRM,VZ,V,WBA,WMT,DIS
3574800,3020800,84784300,17549800,2359000,22499100,10269300,2487700,3987000,3452500,4607800,31351700,7116800,24620000,13357900,3564800,2675200,11226900,28651500,4548400,9980200,1318700,3814200,8576200,20278700,6441200,6428900,7181400,12443700
3327800,3076700,91533000,25997800,2343100,22525100,11565300,2725800,4050400,2979200,4606900,37652300,7796100,19684700,14083500,3152100,3271100,11357100,33111700,4828700,12178100,1374600,2550700,7740700,22005600,6490000,6439100,8638000,11751600
4815100,4102700,108123900,19543600,4789900,27049000,18125900,2777300,6181000,4428200,5386400,45576500,7056700,15053800,16724900,3272000,3728200,12925200,33169200,7384800,9683300,1451100,3135600,8090900,22029300,9887200,7784900,10235600,15298500
10033600,13114500,134520300,16042500,7226100,59678600,35575100,5234400,10775600,5633600,12968500,71393200,12486600,34781900,30919900,7236300,7180900,32989100,43084800,10256800,17113300,2366800,5277400,13074600,36469500,15089300,11970400,12279600,15403800
3518800,3882200,81000500,10519900,2755400,23277900,13772000,2506300,5498400,2935500,4089300,34004900,8219700,17705000,11680500,3263500,3728400,11778600,29928300,6211400,9017000,1136900,5726800,6736800,34258500,6241600,5493200,7972200,16649800
3419000,4172900,73409200,7713300,4008700,19942300,13735800,2463100,4678400,2906700,3791500,32571000,10593100,15207100,9842700,3054300,2900200,11935400,25939900,9884000,8374500,997300,5061000,5864500,23650600,5138500,6332700,6745000,11403500
3915000,3229600,72433800,10746900,6667900,33801700,15713700,2547000,3747500,3333400,4547900,30163000,10223500,17190900,11851500,1937000,2241000,14718400,25861400,8898400,6418300,1278700,4687700,7258000,21736400,4752800,6354100,6013600,11348800
8957200,4527700,89116800,13626200,4868900,30543800,11108300,3984300,10310700,4155300,11493000,38159900,9374400,18147100,14841100,3104800,3659300,25248400,33923200,10463700,19440600,1296800,15861100,12107100,28490700,7754800,8093700,10615300,11681200
3151500,2767500,70207900,8457400,3061100,22755300,9242400,2091700,2538600,2600700,3936000,29585300,5908600,12142100,11280500,2059200,2388600,11949000,24615100,12644700,5618500,762100,3907100,6170600,16974900,6121200,7140600,6629700,10793700
2649300,2430100,67083400,12125400,3327200,20091300,9183300,2276600,4052100,3181100,4064800,37824200,9245700,13150100,11590900,2381700,2408300,13523300,27295500,31296500,6077300,1061700,4978200,6668600,16615700,4354200,7825000,5133000,16812400
4164900,2610400,66242400,7489200,2436900,13450800,9082900,2475900,2460500,2428300,4161500,25437200,7097900,11795500,9338400,2997200,2821100,8657100,20069800,10326600,5174600,719800,3823400,5430400,13901400,4324600,6099200,6370500,8653200
4123500,3033800,98964500,8455100,4197100,24947900,10685000,2669500,4058000,2872200,4878000,35141000,10777200,15514200,15172600,2786200,3341100,18551400,31730900,9027400,7410100,1336100,3568900,9539400,18880500,7045200,15611700,6388700,10983500
2625300,2745500,71051600,7627100,3423100,24338500,7684600,1749400,2818300,1973100,4011900,40596300,5498400,15143200,10573600,2531400,3720800,11413800,22837700,7934300,5937200,1033400,2426600,4561600,14189300,4131800,9291900,5820300,10543400
4057000,2483600,73353800,10065900,3724900,24442600,11513100,2480900,3241300,3345600,6273400,33215000,5676400,15921200,12514200,2390700,3905300,9574400,22941000,9948800,5760900,1028000,3029600,4614200,19675600,4110200,6969600,6072700,10660600
4401300,4320500,74064300,6608000,3190600,17250400,12421200,1774500,2206100,2201900,3237000,26258300,5335600,13450500,10656200,1948600,3031600,10455300,23824400,6432900,5485200,1366800,2506700,4085100,14938900,4111200,5951900,7100000,8640200
4258000,3068200,66253700,7674400,4677600,22316700,12741800,2046500,3133900,2756700,3897100,33165400,5725800,14828400,10347400,2396700,3449600,8140100,20859900,7633900,6623400,1155100,2385400,4000100,13617100,4650700,6053300,5829100,7813100
3631800,2215400,64547800,5655500,2491100,11817000,7915500,1438900,1891000,1614800,2820800,22566300,3828300,11311500,8807800,1450300,2191300,7161500,19658800,5938600,4294200,689900,3092100,2869200,13959200,3621800,7066800,4917000,7717300
2373600,1805000,63141600,6176500,2773300,15245200,7056800,1519400,2453200,3224200,3904700,25904300,3645200,12702100,7939500,1478100,2693200,9507700,19455200,4935200,5482900,883100,1743600,3689300,12259000,5353600,6706600,3844300,7643700
4047400,2699300,77588800,18598200,2718400,17385300,8653900,1772600,2696100,2757600,3235400,30546300,4708800,14731100,11250900,2112800,2638100,7826500,35868500,6017400,5204400,1032100,2706500,7073000,20528700,6779500,5868400,4577400,8665300
2753800,2498000,71185600,9038700,2389000,16854200,9414600,1884100,2941600,1997100,4123200,27059200,5291700,13145300,12979900,2205300,2490300,6415600,29497400,5299400,5075600,1022300,3467700,6225900,13362500,7597300,5641500,4229700,12006400
4600200,2886400,78140700,9456100,2531200,17336200,10150200,3171900,2822200,1824200,5298400,36690700,5359600,14433000,26204800,2371000,2525500,6271000,25102800,6951300,4867000,1654500,3765500,6096100,10271700,5605500,8298400,6968500,11146400
3296600,2805500,76259900,7910400,2282100,19897800,7051900,3457600,2647200,2188500,4519300,32892300,5691100,21968400,18863900,2627200,2638600,9731900,29774100,7862000,6264600,1562000,5742500,6037700,13021300,7245700,7469600,7061400,14946700
3330300,2231400,81420900,13948500,2476400,16743800,7943900,6767900,2664000,1657000,8231700,30814400,7605700,10780800,13977900,2164400,2539800,8653700,20975000,6834800,6047500,1098000,3212000,3818200,16173100,4648900,4421100,4747900,10430400
3372300,3375000,82982400,14183000,2671400,22861400,9152100,5641100,2614900,2455400,29690500,53095300,13256400,10998200,11862300,2181300,2812700,8233600,25012600,8973900,5943600,1288300,2953500,4373400,14638500,4927100,5398300,5665100,13683400
2802300,2664600,64823400,8668600,2175900,15599200,7856600,3489800,2533400,1648800,9882000,36387900,7455800,11010500,11667500,2183700,2005300,11844000,22788300,5884600,8635300,1271800,4327500,5654000,29611400,4460300,5014300,6188300,15112700
4683000,2009500,65086600,8044100,2214500,15364600,6724200,2518800,1965000,1853700,11975400,29661200,5729200,11959600,11595900,2056500,1669100,8197000,22404700,4291400,8310200,2080700,2667600,3886000,32321000,4801300,5726600,6254900,8611300
9298400,1843600,66675400,7594900,1961500,14854600,5889500,1830300,2391500,2327100,6467200,41350000,4257000,11644700,7645500,2226600,1760000,6354500,21881300,6039300,5292700,880900,1850300,3804700,58265000,5071500,4429500,4538800,7803500
4213800,1771100,53623900,5764700,1845600,12954700,6210900,4024500,1910500,1941200,4702400,32263400,4437300,14941700,9394000,2860400,2354100,6364500,21056000,5079500,5262100,1176300,2337200,4407900,27180700,4357200,3825700,6845100,6726700
2812700,2528600,55138700,6053100,1767700,19513000,6112800,2054700,2690200,2324100,3645300,35925500,4525500,20118000,10675100,5272300,12551200,6414100,39348000,8459500,5375700,1107500,2637800,3886500,20571800,6141000,4566500,31797200,6346600
5029100,2180900,78620700,16356600,1856500,22349000,6223000,2081900,3233700,3506100,4175600,42571600,4648500,12142900,9337400,2718300,5030300,6966300,45994000,7437000,5500000,1456300,2268100,4960900,21560500,17432200,4722500,14053200,9684800
3587900,2214400,81378700,8729100,2229200,17576200,6574300,1820700,3992100,3653900,3913700,56662300,5513000,10837000,10384800,2849100,3094200,13909800,33459300,6773500,7115700,1458700,2344500,4562100,22051900,7477100,4400400,11087400,7970300
3197900,3289700,101786900,5743500,5188100,23701700,17143700,2112200,3236000,2907400,5786800,125292400,6451400,13734200,12944500,2653800,3998300,14938600,32152800,7560000,18694700,1361100,2945700,4751400,23129800,6059700,9741500,10047300,10320000
2295600,1960500,67829400,18321600,3185100,14153400,8017800,1476500,3303900,2333300,4142100,52513400,5461400,12831500,14740400,2384000,2855900,7343300,21539600,4802900,12590000,1263300,2335000,3997100,18612100,8028400,5538300,8332100,7769700
2562900,2295100,59907000,10874300,8193100,15005400,5928300,1862900,3091000,3335500,4403600,53929400,5794200,15241900,14942900,2375200,2697700,7443000,22754200,6334400,7495000,1656900,2114200,4317900,18710300,9939400,6274300,6565000,9093000
2609300,2061400,82507500,6709100,4155900,14943800,8751400,1770600,3329400,2535100,3088500,59513900,5010000,11317000,14394500,2305300,2735500,8187600,23518900,5986500,6811000,1142600,1802900,5786300,17314100,9520100,8437400,10667700,11243000
3693300,2650600,55474100,5039600,2478900,15249300,10640000,1533400,2718400,1701200,3179800,54046300,5651600,11795600,18033900,2089600,5904900,7993800,18098700,4332000,6124700,968200,2368000,3759700,29704300,6789700,5091600,17702000,7322400
2513600,2723900,56697000,4709100,1908500,19533900,7170200,1876400,2029100,1848700,2586500,40205100,5235500,10445400,14174600,1818500,4187400,8801200,16774600,4162200,4580300,882300,2373400,4090300,17297500,5553700,5611600,10669000,10100000
3080700,2784400,60276900,11293200,2655000,15465600,5966900,1460000,2505100,2077700,3821200,41534600,4629800,9165200,10332500,2253500,3148500,8149400,18739200,6071600,4486800,915600,1656400,3396800,20597000,4063400,5132900,6058400,13025900
2997900,2061600,63135500,6064800,2460000,12826200,5842200,1587900,2607000,2281600,3496000,48202300,5532500,7910900,10233800,2315800,3033500,13215500,23405200,7377600,3977300,1022300,2147200,5851700,14554000,4596800,5469200,6441700,8776500
3225400,2628600,70170500,7181700,2304300,18935400,6145800,2459500,3863400,2639600,3664000,42243300,5603400,8857300,12847300,2967900,2547000,8140200,24687800,6951800,4641300,1128800,2291400,4179200,16402700,5746400,5888600,8417000,26398700
1968200,2686900,57149200,4996800,2538900,15849000,7888600,2360800,2444100,2392700,3501900,35569700,9328700,8507800,11684900,2007000,2298300,7396800,20065900,5582100,5954300,1301900,3006200,4175100,15407300,6639600,4553700,7951500,50375000
1942600,3461100,68039400,4345200,1864800,16967600,7244700,2369000,2273800,2257800,2766900,37675200,14606900,9489300,9906700,1530800,2346800,12317300,22619700,4407900,5038700,867400,1981000,3846200,15090900,6443700,4416300,8875000,21964800
